Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
14029543548,"Mar 30, 2025, 11:44:17 AM",Evening Run,Run,"",3717,5.58,,,false,,,activities/14029543548.gpx,,,3717.0,2369.0,5587.6,12.26,2.359,60.4,60.4,24.5,40.2,11.8,0.0,,,,,,,,,439.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5669.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.503,1414.3,,,,,,,,,2.393,,,,,,,,""
14037839451,"Mar 31, 2025, 11:10:53 AM",Evening Run,Run,"",3187,6.48,,,false,,,activities/14037839451.gpx,,,3187.0,2671.0,6479.9,10.92,2.426,72.1,72.1,25.0,40.2,7.5,0.0,,,,,,,,,508.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6569.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.033,1420.7,,,,,,,,,2.459,,,,,,,,""
14047657568,"Apr 1, 2025, 11:28:35 AM",Evening Run,Run,"",2811,6.12,,,false,,,activities/14047657568.gpx,,,2811.0,2211.0,6120.8,12.47,2.768,66.1,66.1,25.1,40.2,39.4,-0.1,,,,,,,,,481.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6212.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.177,831.2,,,,,,,,,2.81,,,,,,,,""
14067590044,"Apr 3, 2025, 11:29:56 AM",Evening Run,Run,"",2137,6.02,,,false,,,activities/14067590044.gpx,,,2137.0,2125.0,6021.0,15.5,2.833,49.4,49.4,24.1,40.2,10.8,-0.1,,,,,,,,,474.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6126.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.818,803.6,,,,,,,,,2.883,,,,,,,,""
14077178280,"Apr 4, 2025, 11:37:20 AM",Evening Run,Run,"",2212,5.03,,,false,,,activities/14077178280.gpx,,,2212.0,1847.0,5031.1,12.08,2.724,53.2,53.2,24.5,40.2,21.4,0.0,,,,,,,,,395.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5096.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.274,663.6,,,,,,,,,2.759,,,,,,,,""
14086684652,"Apr 5, 2025, 11:45:07 AM",Evening Run,Run,"",2208,5.41,,,false,,,activities/14086684652.gpx,,,2208.0,2030.0,5410.5,11.67,2.665,56.4,56.4,24.5,40.2,9.7,0.0,,,,,,,,,424.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5475.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.45,804.2,,,,,,,,,2.697,,,,,,,,""
14106175334,"Apr 7, 2025, 11:59:26 AM",Evening Run,Run,"",2356,5.20,,,false,,,activities/14106175334.gpx,,,2356.0,1806.0,5204.8,12.77,2.882,50.2,50.2,24.5,40.2,13.3,-0.1,,,,,,,,,407.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5256.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.209,786.4,,,,,,,,,2.911,,,,,,,,""
14121684364,"Apr 8, 2025, 10:04:46 PM",Morning Run,Run,"",3785,10.02,,,false,,,activities/14121684364.gpx,,,3785.0,3643.0,10023.2,11.65,2.751,124.7,124.7,17.1,65.0,43.0,0.0,,,,,,,,,793.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10239.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.648,1045.9,,,,,,,,,2.811,,,,,,,,""
14135835360,"Apr 10, 2025, 11:16:16 AM",Evening Run,Run,"",2698,11.34,,,false,,,activities/14135835360.gpx,,,2698.0,2697.0,11346.6,29.26,4.207,98.9,105.6,17.5,41.0,20.2,0.0,,,,,,,,,896.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,11576.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.206,3310.6,,,,,,,,,4.293,,,,,,,,""
14173942802,"Apr 14, 2025, 11:40:45 AM",Evening Run,Run,"",2620,5.26,,,false,,,activities/14173942802.gpx,,,2620.0,2383.0,5266.1,8.23,2.21,58.2,58.2,24.2,39.9,14.5,0.0,,,,,,,,,413.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5339.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.01,1289.2,,,,,,,,,2.24,,,,,,,,""
14271596025,"Apr 24, 2025, 11:07:36 AM",Evening Run,Run,"",2583,5.16,,,false,,,activities/14271596025.gpx,,,2583.0,2572.0,5167.3,5.96,2.009,59.9,59.9,24.7,39.9,10.0,0.0,,,,,,,,,406.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5245.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.001,242.4,,,,,,,,,2.04,,,,,,,,""
14285813398,"Apr 25, 2025, 9:50:24 PM",Morning Run,Run,"",2123,5.85,,,false,,,activities/14285813398.gpx,,,2123.0,1747.0,5856.6,12.953,3.352,93.4,93.4,22.2,65.0,16.7,0.0,,,,,,,,,467.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6030.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.759,1155.6,,,,,,,,,3.452,,,,,,,,""
14301117702,"Apr 27, 2025, 11:11:26 AM",Evening Run,Run,"",2313,6.00,,,false,,,activities/14301117702.gpx,,,2313.0,2308.0,6003.1,16.6,2.601,54.2,54.2,23.1,39.9,14.1,-0.1,,,,,,,,,471.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6079.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.595,824.5,,,,,,,,,2.634,,,,,,,,""
14311063421,"Apr 28, 2025, 11:35:38 AM",Evening Run,Run,"",2436,5.02,,,false,,,activities/14311063421.gpx,,,2436.0,2104.0,5021.0,11.487,2.386,52.2,52.3,24.6,39.9,13.3,0.0,,,,,,,,,395.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5102.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.061,896.8,,,,,,,,,2.425,,,,,,,,""
